Kуd ADM;Kуd obce;Nбzev obce;Nбzev MOMC;Nбzev MOP;Kуd ибsti obce;Nбzev ибsti obce;Nбzev ulice;Typ SO;»нslo domovnн;»нslo orientaиnн;Znak инsla orientaиnнho;PS»;Souшadnice Y;Souшadnice X;Platн Od
419389;593401;Nemotice;;;103250;Nemotice;;и.p.;192;;;68333;561554.71;1171817.87;2013-12-04T00:00:00
419397;593401;Nemotice;;;103250;Nemotice;;и.p.;193;;;68333;561956.13;1171329.67;2013-12-04T00:00:00
419401;593401;Nemotice;;;103250;Nemotice;;и.p.;194;;;68333;562029.85;1171262.53;2013-12-04T00:00:00
26108038;593401;Nemotice;;;103250;Nemotice;;и.p.;196;;;68333;561994.21;1171250.17;2013-12-04T00:00:00
26340461;593401;Nemotice;;;103250;Nemotice;;и.p.;197;;;68333;561953.48;1171233.67;2013-12-04T00:00:00
26340470;593401;Nemotice;;;103250;Nemotice;;и.p.;198;;;68333;561697.22;1171705.58;2013-12-04T00:00:00
26673983;593401;Nemotice;;;103250;Nemotice;;и.p.;195;;;68333;561649.49;1171806.73;2013-12-04T00:00:00
26991471;593401;Nemotice;;;103250;Nemotice;;и.p.;49;;;68333;562060.98;1171260.75;2013-12-04T00:00:00
27421341;593401;Nemotice;;;103250;Nemotice;;и.p.;199;;;68333;561680.66;1171815.92;2013-12-04T00:00:00
27421350;593401;Nemotice;;;103250;Nemotice;;и.p.;200;;;68333;561701.31;1171877.27;2013-12-04T00:00:00
27421368;593401;Nemotice;;;103250;Nemotice;;и.p.;201;;;68333;561672.68;1171904.40;2013-12-04T00:00:00
27421376;593401;Nemotice;;;103250;Nemotice;;и.p.;202;;;68333;561683.38;1172022.22;2013-12-04T00:00:00
27883825;593401;Nemotice;;;103250;Nemotice;;и.p.;36;;;68333;561497.88;1171945.38;2013-12-04T00:00:00
42586879;593401;Nemotice;;;103250;Nemotice;;и.p.;203;;;68333;561624.53;1172071.00;2013-12-04T00:00:00
72907363;593401;Nemotice;;;103250;Nemotice;;и.p.;204;;;68333;561488.91;1171987.23;2014-07-18T00:00:00
